,
11,87
0,30
74,90
70,82
73,42
67,18
62,23
40,3
31,9
48,31
2,40
42,83
45,70
39,74
75,0
84,20
5,41
67,61
27,62
43,34
87,96
10,49
44,18
37,29
4,51
29,97
39,24
50,1
57,40
7,31
49,8
32,17
88,55
74,71
17,59
78,46
63,72
2,63
18,23
37,15
64,8
59,97
7,10
76,7
21,23
50,61
19,29
98,11
60,21
3,17
65,85
85,88
41,60
46,64
72,76
76,75
37,68
4,43
84,3
81,90
53,33
32,98
63,75
51,15
91,37
46,83
10,88
46,93
66,90
74,69
12,42
87,8
18,59
65,17
92,16
71,67
31,28
98,88
86,36
0,51
6,23
98,58
17,86
36,36
71,60
2,45
13,72
67,20
51,14
82,63
53,34
2,15
4,43
80,81
88,2
31,1
42,28
21,67
59,70
50,70
35,31
29,28
70,19
6,100
67,94
11,34
53,17
25,44
21,39
64,96
37,46
58,50
66,66
81,27
50,25
3,95
0,80
77,13
68,10
60,28
53,83
19,8
41,31
53,83
30,9
10,92
20,54
49,91
36,87
57,83
61,59
17,0
16,61
28,18
49,39
22,40
17,95
45,51
16,70
90,82
36,24
36,58
2,6
83,63
98,55
6,39
42,68
0,98
59,96
36,59
37,53
39,58
91,65
93,45
25,56
50,83
29,70
65,37
69,88
95,72
30,66
35,42
33,22
79,79
75,59
93,56
100,34
18,76
49,73
61,25
43,90
16,19
42,7
24,0
74,86
66,19
29,38
0,10
88,60
60,53
15,73
31,45
36,69
12,28
54,24
47,46
49,73
25,97
61,26
8,83
25,54
97,10
42,23
6,48
37,48
86,28
8,68
32,9
88,17
97,91
65,28
63,31
92,2
21,46
7,62
25,33
86,35
41,57
18,8
57,26
95,75
92,25
67,93
88,2
9,55
87,65
11,82
100,13
34,24
98,30
67,37
90,97
49,54
27,51
11,45
83,47
17,63
7,59
89,92
46,7
68,18
71,63
86,11
22,55
88,53
67,70
60,50
95,29
3,2
17,99
19,32
89,9
57,19
44,49
24,15
33,91
36,8
47,33
30,97
1,40
72,1
47,0
47,83
41,52
82,34
21,21
61,90
57,99
79,24
77,49
12,78
77,0
41,60
12,19
96,86
23,54
65,36
38,94
89,89
26,39
92,18
3,31
50,26
84,48
69,36
2,60
47,46
57,45
85,83
97,77
40,19
92,2
49,17
97,66
75,97
57,82
3,72
38,77
44,55
0,63
76,38
4,81
81,61
28,79
66,59
42,4
32,42
0,23
89,100
2,12
57,70
38,21
37,33
81,49
80,48
86,33
93,84
9,85
74,0
51,38
75,42
94,79
55,96
20,23
58,83
60,80
75,12
47,84
45,54
27,57
14,100
3,53
5,49
53,83
7,37
14,36
30,99
66,23
94,69
55,84
20,85
1,88
88,24
80,80
53,80
31,51
49,70
33,70
44,12
2,25
63,95
0,34
92,6
7,62
86,15
5,21
59,20
5,71
46,85
24,95
7,43
42,88
16,28
24,30
66,74
55,39
84,4
85,18
42,32
37,93
17,43
31,68
43,69
15,62
59,14
24,29
53,75
53,5
93,68
86,24
77,40
80,90
18,49
85,69
43,16
34,33
40,41
88,57
58,37
65,38
6,88
29,64
36,30
46,59
33,74
67,99
18,48
48,16
16,18
58,87
42,21
52,18
85,81
80,61
48,51
54,98
62,15
43,47
52,64
14,65
49,16
34,76
79,38
69,22
60,79
80,57
41,91
79,86
100,91
95,28
11,10
17,32
46,3
88,91
28,85
93,78
2,54
45,14
71,44
53,66
4,93
72,35
0,42
9,13
46,67
98,27
29,63
63,79
100,100
57,12
72,96
55,44
75,98
80,78
9,17
87,31
50,90
11,79
36,50
15,38
5,81
38,93
15,95
51,10
97,92
24,31
36,3
42,30
76,98
81,93
72,32
45,3
86,6
95,95
8,64
36,50
29,7
100,43
32,52
96,37
26,50
45,46
3,43
13,48
77,76
29,24
94,23
15,74
71,24
64,44
23,62
47,10
95,30
11,15
62,37
4,56
82,54
82,97
95,95
36,0
66,5
22,4
44,2
26,5
27,48
77,28
91,20
17,25
14,26
49,76
92,36
82,56
94,33
16,64
48,94
56,72
4,26
23,33
50,76
1,68
2,8
12,29
68,49
50,16
98,1
47,36
69,90
84,54
69,42
93,94
4,58
70,12
36,42
22,50
79,98
90,46
96,34
3,93
21,14
14,51
62,37
75,76
7,29
10,21
1,68
50,72
54,15
